subjectID,first_second_session,combination_of_trials,inserted_position,first_target,second_target,order_of_stimulus,subject,date,c1,c2,c3,c4,c5,c6,c7,c8,c9,retention_task,age
2,2,3,#9,0,7,7,23,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
2,2,3,#6,6,7,8,23,2022/9/25,0,0,0,0,1,0,0,0,0,1,children
2,2,3,#9,4,7,9,23,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
2,2,3,#9,0,4,10,23,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
2,2,3,#6,5,9,11,23,2022/9/25,0,0,0,0,1,0,0,0,0,1,children
2,2,3,#9,5,7,12,23,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
16,2,2,#9,0,8,1,24,2022/9/25,0,0,0,0,0,0,0,1,0,2,children
16,2,2,#6,4,7,2,24,2022/9/25,0,0,0,1,0,0,1,0,0,1,children
16,2,2,#6,6,9,3,24,2022/9/25,0,0,0,0,0,1,0,0,1,1,children
16,2,2,#9,0,7,4,24,2022/9/25,0,0,0,0,0,0,1,0,0,2,children
16,2,2,#6,5,7,5,24,2022/9/25,0,0,0,0,1,0,1,0,0,1,children
16,2,2,#9,0,4,6,24,2022/9/25,0,0,0,1,0,0,0,0,0,2,children
16,2,2,#6,6,8,7,24,2022/9/25,0,0,0,0,0,1,0,1,0,1,children
16,2,2,#9,5,7,8,24,2022/9/25,0,0,0,0,1,0,1,0,0,2,children
16,2,2,#9,6,7,9,24,2022/9/25,0,0,0,0,0,1,1,0,0,2,children
16,2,2,#6,4,8,10,24,2022/9/25,0,0,0,1,0,0,0,1,0,1,children
16,2,2,#9,5,9,11,24,2022/9/25,0,0,0,0,0,0,0,0,1,2,children
16,2,2,#9,5,8,12,24,2022/9/25,0,0,0,0,1,0,0,1,0,2,children
7,2,1,#9,0,4,1,25,2022/9/29,0,0,0,0,0,0,0,0,1,2,children
7,2,1,#9,6,9,2,25,2022/9/29,0,0,0,0,0,0,0,0,1,2,children
7,2,1,#6,6,9,3,25,2022/9/29,0,0,0,0,0,1,0,0,0,1,children
7,2,1,#9,0,9,4,25,2022/9/29,0,0,0,0,0,0,0,0,1,2,children
7,2,1,#9,6,7,5,25,2022/9/29,0,0,0,0,0,0,0,0,1,2,children
